Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,clustering,triangles,eigencentrality
Nikolaj,,,31,36,4,0.479968,0.503617,711.890319,0.023963,0.023963,3,0.001863,0,0.266667,124,0.121322
Rune,,,13,16,4,0.423921,0.448247,22.94149,0.008288,0.008288,3,0.000848,0,0.141026,11,0.041953
Putin,,,39,49,4,0.48502,0.511686,228.254299,0.028025,0.028025,3,0.002037,0,0.236167,175,0.141
Darwin,,,18,22,4,0.465062,0.485531,32.19615,0.017549,0.017549,3,0.001042,0,0.359477,55,0.087944
Bang,,,52,62,4,0.495451,0.526155,349.581787,0.044421,0.044421,3,0.00255,0,0.302413,401,0.221595
Leonard Cohen,,,32,41,4,0.478817,0.503617,226.073859,0.021596,0.021596,3,0.001765,0,0.21371,106,0.109533
Tony,,,11,12,4,0.452075,0.471341,14.47707,0.008821,0.008821,3,0.000765,0,0.327273,18,0.045442
Johannes Møllehave,,,69,145,4,0.512404,0.546605,321.16303,0.07218,0.07218,4,0.003129,0,0.439898,1032,0.354198
C.S. Lewis/Lewis,,,79,165,4,0.515491,0.554118,693.277707,0.07548,0.07548,3,0.003643,0,0.375527,1157,0.370472
Holger Lissner,,,29,33,4,0.478817,0.501948,57.500754,0.028242,0.028242,3,0.001504,0,0.3867,157,0.140943
Pontius Pilatus,,,94,338,4,0.523144,0.567195,318.00628,0.097692,0.097692,1,0.00405,0,0.457332,1999,0.475873
